RIS Field	EndNote Field	EndNote Ref. Type	In RIS spec?	Raw Data
DA	Last Update Date	Blog	N	DA    Last Update Date
DB	Name of Database	Journal Article	N	DB    Name of Database
DB	Name of Database	Book	N	DB    Name of Database
DB	Name of Database	Thesis	N	DB    Name of Database
DB	Name of Database	Conference Proceedings	N	DB    Name of Database
DB	Name of Database	Personal Communication	N	DB    Name of Database
DB	Name of Database	Newspaper Article	N	DB    Name of Database
DB	Name of Database	Computer Program	N	DB    Name of Database
DB	Name of Database	Book Section	N	DB    Name of Database
DB	Name of Database	Magazine Article	N	DB    Name of Database
DB	Name of Database	Edited Book	N	DB    Name of Database
DB	Name of Database	Report	N	DB    Name of Database
DB	Name of Database	Map	N	DB    Name of Database
DB	Name of Database	Audiovisual Material	N	DB    Name of Database
DB	Name of Database	Artwork	N	DB    Name of Database
DB	Name of Database	Patent	N	DB    Name of Database
DB	Name of Database	Web Page	N	DB    Name of Database
DB	Name of Database	Bill	N	DB    Name of Database
DB	Name of Database	Case	N	DB    Name of Database
DB	Name of Database	Hearing	N	DB    Name of Database
DB	Name of Database	Manuscript	N	DB    Name of Database
DB	Name of Database	Manuscript-2	N	DB    Name of Database
DB	Name of Database	Statute	N	DB    Name of Database
DB	Name of Database	Figure	N	DB    Name of Database
DB	Name of Database	Chart or Table	N	DB    Name of Database
DB	Name of Database	Equation	N	DB    Name of Database
DB	Name of Database	Electronic Article	N	DB    Name of Database
DB	Name of Database	Electronic Book	N	DB    Name of Database
DB	Name of Database	Online Database	N	DB    Name of Database
DB	Name of Database	Generic	N	DB    Name of Database
DB	Name of Database	Government Document	N	DB    Name of Database
DB	Name of Database	Conference Paper	N	DB    Name of Database
DB	Name of Database	Online Multimedia	N	DB    Name of Database
DB	Name of Database	Classical Work	N	DB    Name of Database
DB	Name of Database	Legal Rule or Regulation	N	DB    Name of Database
DB	Name of Database	Unpublished Work	N	DB    Name of Database
DB	Name of Database	Ancient Text	N	DB    Name of Database
DB	Name of Database	Dictionary	N	DB    Name of Database
DB	Name of Database	Encyclopedia	N	DB    Name of Database
DB	Name of Database	Grant	N	DB    Name of Database
DB	Name of Database	Aggregated Database	N	DB    Name of Database
DB	Name of Database	Blog	N	DB    Name of Database
DB	Name of Database	Catalog	N	DB    Name of Database
DB	Name of Database	Pamphlet	N	DB    Name of Database
DB	Name of Database	Serial	N	DB    Name of Database
DB	Name of Database	Standard	N	DB    Name of Database
DB	Name of Database	Dataset	N	DB    Name of Database
DB	Name of Database	Electronic Book Section	N	DB    Name of Database
DO	DOI	Journal Article	N	DO    DOI
DO	DOI	Book	N	DO    DOI
DO	DOI	Thesis	N	DO    DOI
DO	DOI	Conference Proceedings	N	DO    DOI
DO	DOI	Personal Communication	N	DO    DOI
DO	DOI	Newspaper Article	N	DO    DOI
DO	DOI	Computer Program	N	DO    DOI
DO	DOI	Book Section	N	DO    DOI
DO	DOI	Magazine Article	N	DO    DOI
DO	DOI	Edited Book	N	DO    DOI
DO	DOI	Report	N	DO    DOI
DO	DOI	Map	N	DO    DOI
DO	DOI	Audiovisual Material	N	DO    DOI
DO	DOI	Artwork	N	DO    DOI
DO	DOI	Patent	N	DO    DOI
DO	DOI	Web Page	N	DO    DOI
DO	DOI	Bill	N	DO    DOI
DO	DOI	Case	N	DO    DOI
DO	DOI	Hearing	N	DO    DOI
DO	DOI	Manuscript	N	DO    DOI
DO	DOI	Manuscript-2	N	DO    DOI
DO	DOI	Statute	N	DO    DOI
DO	DOI	Figure	N	DO    DOI
DO	DOI	Chart or Table	N	DO    DOI
DO	DOI	Equation	N	DO    DOI
DO	DOI	Electronic Article	N	DO    DOI
DO	DOI	Electronic Book	N	DO    DOI
DO	DOI	Online Database	N	DO    DOI
DO	DOI	Generic	N	DO    DOI
DO	DOI	Government Document	N	DO    DOI
DO	DOI	Conference Paper	N	DO    DOI
DO	DOI	Online Multimedia	N	DO    DOI
DO	DOI	Classical Work	N	DO    DOI
DO	DOI	Legal Rule or Regulation	N	DO    DOI
DO	DOI	Unpublished Work	N	DO    DOI
DO	DOI	Ancient Text	N	DO    DOI
DO	DOI	Dictionary	N	DO    DOI
DO	DOI	Encyclopedia	N	DO    DOI
